name,weight,dimensions_length,dimensions_width,dimensions_height,model_date_begin,body_type,series
M140i,1510,4329,1765,1430,2017,hatchback,1ER
118i,1380,4329,1765,1440,2017,hatchback,1ER
118i Sport,1380,4329,1765,1440,2017,hatchback,1ER
118i Urban,1380,4329,1765,1440,2017,hatchback,1ER
118i М Sport,1380,4329,1765,1440,2017,hatchback,1ER
118i Advantage,1380,4329,1765,1440,2017,hatchback,1ER
118i SE,1380,4329,1765,1440,2017,hatchback,1ER
118i,1395,4329,1765,1440,2017,hatchback,1ER
118i М Sport,1395,4329,1765,1440,2017,hatchback,1ER
118i Advantage,1395,4329,1765,1440,2017,hatchback,1ER
118i Sport,1395,4329,1765,1440,2017,hatchback,1ER
118i Urban,1395,4329,1765,1440,2017,hatchback,1ER
118i SE,1395,4329,1765,1440,2017,hatchback,1ER
120d M Sport,1465,4329,1765,1440,2017,hatchback,1ER
120d xDrive M Sport,1550,4329,1765,1440,2017,hatchback,1ER
M140i xDrive,1615,4329,1765,1440,2017,hatchback,1ER
M135i xDrive,1595,4324,1765,1430,2015,hatchback,1ER
M140i xDrive,1595,4324,1765,1430,2015,hatchback,1ER
M140i,1595,4324,1765,1430,2015,hatchback,1ER
118i,1375,4329,1765,1440,2015,hatchback,1ER
118i Sport,1380,4329,1765,1440,2015,hatchback,1ER
118i Urban,1380,4329,1765,1440,2015,hatchback,1ER
118i М Sport,1380,4329,1765,1440,2015,hatchback,1ER
118i Advantage,1380,4329,1765,1440,2015,hatchback,1ER
118i,1380,4329,1765,1440,2015,hatchback,1ER
120i,1380,4329,1765,1440,2015,hatchback,1ER
118i Advantage,1390,4329,1765,1440,2015,hatchback,1ER
118i Sport,1390,4329,1765,1440,2015,hatchback,1ER
118i Urban,1390,4329,1765,1440,2015,hatchback,1ER
118i М Sport,1390,4329,1765,1440,2015,hatchback,1ER
118i,1395,4329,1765,1440,2015,hatchback,1ER
118i М Sport,1395,4329,1765,1440,2015,hatchback,1ER
120i,1395,4329,1765,1440,2015,hatchback,1ER
120i Advantage,1395,4329,1765,1440,2015,hatchback,1ER
120i Sport,1395,4329,1765,1440,2015,hatchback,1ER
120i Urban,1395,4329,1765,1440,2015,hatchback,1ER
120i М Sport,1395,4329,1765,1440,2015,hatchback,1ER
120i М Sport,1455,4329,1765,1440,2015,hatchback,1ER
120i,1455,4329,1765,1440,2015,hatchback,1ER
120i Urban,1455,4329,1765,1440,2015,hatchback,1ER
120i Sport,1455,4329,1765,1440,2015,hatchback,1ER
120i Advantage,1455,4329,1765,1440,2015,hatchback,1ER
120d M Sport,1465,4329,1765,1440,2015,hatchback,1ER
120d xDrive M Sport,1530,4329,1765,1440,2015,hatchback,1ER
M 135i,1500,4324,1765,1411,2012,hatchback,1ER
