body_type,color,fuel_type,model_date_begin,name,series,number_of_doors,production_date,vehicle_transmission,engine_displacement,engine_power,mileage,gear_type,steering_wheel,owners,technical_passport,car_age,mileage_per_year,exp_year,high-beam-assist,front-seats-heat-vent,bluetooth,laser-lights,light-sensor,adaptive-light,apple-carplay,electro-trunk,third-row-seats,keyless-entry,activ-suspension,multizone-climate-control,body-kit,projection-display,start-stop-function,start-button,paint-metallic,wheel-heat,passenger-seat-electric,rain-sensor,navigation,voice-recognition,multi-wheel,airbag-curtain,glonass,auto-mirrors,usb,power-latching-doors,led-lights,auto-park,bas,isofix,tyre-pressure,air-suspension,decorative-interior-lighting,360-camera,wireless-charger,electronic-gage-panel,model_age,covid,price,dataset,luxury_tax,car_tax,equipments_count
hatchback,black,gasoline,2007,130i,1ER,5,2007,AT,3000,265,5,rear,left,3,duplicate,5,1.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,1,591500,train,1.0,34980,2
cabriolet,red,gasoline,2007,120i,1ER,2,2009,AT,2000,156,2,rear,left,3,original,5,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1046500,train,1.0,6552,0
hatchback,olive,gasoline,2004,118i,1ER,5,2006,AT,2000,129,7,rear,left,2,original,5,2.0,9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,16,1,500500,train,1.0,3096,9
hatchback,black,gasoline,2011,116i,1ER,5,2013,AT,1600,136,5,rear,left,3,original,4,2.0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,1,599690,train,1.0,3264,8
hatchback,mid_blue,gasoline,2011,118i,1ER,5,2012,AT,1600,170,5,rear,left,1,original,4,2.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,726180,train,1.0,7140,2
hatchback,white,gasoline,2011,116i,1ER,5,2012,AT,1600,136,5,rear,left,3,original,4,2.0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,1,681590,train,1.0,3264,6
hatchback,black,gasoline,2007,116i,1ER,3,2011,AT,1600,115,6,rear,left,3,original,4,2.0,7,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,418600,train,1.0,2300,8
hatchback,white,gasoline,2007,116i,1ER,5,2011,AT,1600,115,5,rear,left,3,original,4,2.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,499590,train,1.0,2300,0
hatchback,red,gasoline,2007,120i,1ER,3,2007,AT,2000,156,10,rear,left,3,original,5,2.0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,1,424970,train,1.0,6552,5
hatchback,white,gasoline,2011,118i,1ER,5,2013,AT,1600,170,5,rear,left,3,original,4,2.0,6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,9,1,799890,train,1.0,7140,12
