;name;engine_power;max_spped;vehicle_transmission;model_date_begin;model_date_end;series;acceleration_time_to_100_km_h;dimensions_height;payload;dimensions_length;number_of_cylinders;wheelbase;curb_weight;dimensions_width;;;
0;116i;136;210;AT;2011;2015;1ER;8.7;1421;455;4324;4;2690;1380;1765;;;
1;118i;170;222;AT;2011;2015;1ER;7.2;1421;530;4324;4;2690;1315;1765;;;
2;116i;136;210;MT;2011;2015;1ER;8.5;1421;455;4324;4;2690;1360;1765;;;
3;114d;95;185;MT;2011;2015;1ER;12.2;1421;530;4324;4;2690;1390;1765;;;
4;114i;102;195;MT;2011;2015;1ER;11.2;1421;530;4324;4;2690;1370;1765;;;
5;118i;170;225;MT;2011;2015;1ER;7.4;1421;530;4324;4;2690;1295;1765;;;
6;125d;218;240;AT;2011;2015;1ER;6.3;1421;530;4324;4;2690;1485;1765;;;
7;120d;184;228;AT;2011;2015;1ER;7.1;1421;530;4324;4;2690;1360;1765;;;
8;125i;218;243;AT;2011;2015;1ER;6.2;1421;530;4324;4;2690;1445;1765;;;
9;116d;116;200;AT;2011;2015;1ER;10.3;1421;530;4324;4;2690;1420;1765;;;
10;118d;143;212;AT;2011;2015;1ER;8.6;1421;530;4324;4;2690;1420;1765;;;
11;125i;218;245;MT;2011;2015;1ER;6.4;1421;530;4324;4;2690;1425;1765;;;
12;125d;218;240;MT;2011;2015;1ER;6.5;1421;530;4324;4;2690;1470;1765;;;
13;118d;143;212;MT;2011;2015;1ER;8.9;1421;530;4324;4;2690;1395;1765;;;
14;120d xDrive;184;225;MT;2011;2015;1ER;7.2;1421;530;4324;4;2690;1420;1765;;;
15;120d;184;228;MT;2011;2015;1ER;7.2;1421;530;4324;4;2690;1340;1765;;;
16;116d;116;200;MT;2011;2015;1ER;10.3;1421;530;4324;4;2690;1390;1765;;;
17;118d xDrive;143;210;MT;2011;2015;1ER;8.9;1421;530;4324;4;2690;1485;1765;;;
18;116d EfficientDynamics Edition;116;195;MT;2011;2015;1ER;10.5;1421;530;4324;4;2690;1390;1765;;;
19;M135i;320;250;AT;2011;2015;1ER;4.9;1411;530;4340;6;2690;1440;1765;;;
20;M135i xDrive;320;250;AT;2011;2015;1ER;4.7;1411;530;4340;6;2690;1515;1765;;;
21;M135i;320;250;MT;2011;2015;1ER;5.1;1411;530;4340;6;2690;1425;1765;;;
22;116i;136;210;AT;2011;2015;1ER;9.1;1421;530;4324;4;2690;1385;1765;;;
23;118i;170;222;AT;2011;2015;1ER;7.5;1421;530;4324;4;2690;1390;1765;;;
24;116i;136;210;MT;2011;2015;1ER;8.5;1421;530;4324;4;2690;1365;1765;;;
25;114i;102;195;MT;2011;2015;1ER;11.2;1421;530;4324;4;2690;1375;1765;;;
26;114d;95;185;MT;2011;2015;1ER;12.2;1421;530;4324;4;2690;1395;1765;;;
27;118i;170;225;MT;2011;2015;1ER;7.4;1421;530;4324;4;2690;1370;1765;;;
